cluster_name	chr	start	end	cpg_list	n_cpg_listed	age_weight_5yr	age_weight_per_year	exposure_pvalue.y	exposure_padjusted.y	n_sites_in_cluster.y	beta_2-cell	beta_4-cell	beta_8-cell	beta_ICM	beta_MII oocyte	beta_TE	beta_blastocyst	beta_morula	beta_zygote/PN	entropy_2-cell	entropy_4-cell	entropy_8-cell	entropy_ICM	entropy_MII oocyte	entropy_TE	entropy_blastocyst	entropy_morula	entropy_zygote/PN	n_samples_covered_2-cell	n_samples_covered_4-cell	n_samples_covered_8-cell	n_samples_covered_ICM	n_samples_covered_MII oocyte	n_samples_covered_TE	n_samples_covered_blastocyst	n_samples_covered_morula	n_samples_covered_zygote/PN	total_reads_2-cell	total_reads_4-cell	total_reads_8-cell	total_reads_ICM	total_reads_MII oocyte	total_reads_TE	total_reads_blastocyst	total_reads_morula	total_reads_zygote/PN	delta_H_MII_to_morula	delta_H_8cell_to_morula	contribution_MII_to_morula	contribution_8cell_to_morula	abs_contribution_8cell_to_morula	nearest_gene	nearest_gene_distance_bp	gene_context	cpg_context	reset_driver_rank_8cell_to_morula	reset_driver_rank_MII_to_morula
cluster_7683	chr9	34628025	34628238	;cg01368230;cg03186877	2	-0.027870513	-0.0055741026	7.39e-08	1.17e-05	2	0.0870488322717622	0.08443271767810026	0.09479553903345725	0.02262443438914027	0.14285714285714285	0.05726872246696035	0.0	0.0	0.1697860962566845	0.2956561949282052	0.289464311860391	0.31349474006854683	0.10808430503834043	0.41011631828840894	0.21938522073393044	1.4815510057992861e-05	1.4815510057992861e-05	0.45554687922991655	19.0	22.0	30.0	17.0	31.0	11.0	5.0	1.0	21.0	471.0	379.0	538.0	442.0	378.0	227.0	137.0	1.0	748.0	0.41010150277835095	0.31347992455848883	0.011429739264503566	0.008736846312646382	0.008736846312646382	ARID3C	0	promoter	CpG_shore	35.0	39.0
cluster_1333	chr11	44328423	44329915	;cg08976101;cg17017404;cg13837679	3	-0.042831806	-0.0085663612	1.5e-06	0.000112097	3	0.11102423768569195	0.07968901846452867	0.09882198952879581	0.09575233981281497	0.2748148148148148	0.09794437726723096	0.022058823529411766	0.025974025974025976	0.24315443592552027	0.3486514094179838	0.2780091891645794	0.32248688326808145	0.31564838384804994	0.5879891727178617	0.3205426886385968	0.10594701132798161	0.12045603384922707	0.554688786400986	20.0	25.0	36.0	17.0	34.0	11.0	5.0	4.0	27.0	1279.0	1029.0	1528.0	1389.0	1350.0	827.0	408.0	77.0	913.0	0.46753313886863457	0.20203084941885438	0.020025288702592417	0.008653346148323584	0.008653346148323584	ALX4	0	intron	CpG_shore	36.0	21.0
cluster_3348	chr17	38911538	38911540	;cg22983092;cg18901980	2	0.023898612	0.0047797224	5.35e-09	1.48e-06	2	0.0	0.1111111111111111	0.10810810810810811	0.3	0.18181818181818182	0.25	0.0	1.0	0.2727272727272727	1.4815510057992861e-05	0.34883209584303193	0.3425415079719701	0.6108643020548935	0.47413931305783746	0.5623351446188083	1.4815510057992861e-05	1.4815510058361381e-05	0.5859526183035508	6.0	7.0	9.0	7.0	10.0	4.0	2.0	1.0	7.0	17.0	27.0	37.0	20.0	33.0	16.0	4.0	2.0	11.0	0.4741244975477791	0.3425266924619117	0.011330917406589324	0.008185912522790552	0.008185912522790552	KRT25	0	promoter	non_CpG_island	37.0	41.0
cluster_6400	chr6	36237982	36238410	;cg22478258;cg18927901;cg00980581;cg26681975;cg02683846;cg23059700;cg17767484;cg01976992	8	0.057841086	0.0115682172	7.46e-08	1.17e-05	8	0.05537024683122081	0.06275902901124926	0.07600434310532031	0.110801393728223	0.22391653290529695	0.13279445727482678	0.10049019607843138	0.028985507246376812	0.1906816220880069	0.2140338084492906	0.2344925504563961	0.26890043977387745	0.3481875706359103	0.5318204792579149	0.3916645399289028	0.32615871124018153	0.13119781096951133	0.48720981555436593	20.0	24.0	35.0	16.0	32.0	11.0	5.0	4.0	25.0	1499.0	1689.0	1842.0	1435.0	1246.0	866.0	408.0	69.0	1159.0	0.40062266828840354	0.13770262880436612	0.02317245021001902	0.007964869595099419	0.007964869595099419	PNPLA1	0	promoter	non_CpG_island	38.0	16.0
cluster_4593	chr2	219860379	219860717	;cg12941249;cg00215611	2	-0.042572963	-0.0085145925999999	7.16e-08	1.17e-05	2	0.06968641114982578	0.0847457627118644	0.04583333333333333	0.025380710659898477	0.03676470588235294	0.015384615384615385	0.02531645569620253	0.0	0.1452513966480447	0.2528270336552781	0.29020984938637506	0.18605897828072895	0.11829864756283842	0.15752224675427734	0.07948700320303707	0.11806415824102724	1.4815510057992861e-05	0.41438294572007806	19.0	20.0	29.0	17.0	21.0	10.0	5.0	3.0	19.0	287.0	177.0	240.0	197.0	136.0	130.0	79.0	22.0	179.0	0.15750743124421934	0.18604416277067096	0.0067055580425851935	0.007920451258001752	0.007920451258001752	CRYBA2	2404	intergenic	CpG_shore	39.0	60.0
cluster_483	chr1	158670124	158670617	;cg00119186;cg03002968;cg02245566	3	0.025181528	0.0050363056	1.51e-10	1.59e-07	3	0.2549019607843137	0.5	0.09523809523809523	0.26666666666666666	0.5384615384615384	0.041666666666666664	0.0	0.0	0.2857142857142857	0.5676566971046663	0.6931471805599453	0.31449220128141064	0.5799151714181008	0.6901856760188042	0.1732052067491771	1.4815510057992861e-05	1.4815510057992861e-05	0.5982695885852573	14.0	6.0	9.0	11.0	15.0	7.0	5.0	1.0	12.0	51.0	18.0	21.0	45.0	52.0	24.0	20.0	1.0	42.0	0.6901708605087462	0.31447738577135265	0.01737955684868509	0.007919021095168118	0.007919021095168118	OR6K2	0	promoter	non_CpG_island	40.0	26.0
cluster_5064	chr22	46370644	46371152	;cg20539366;cg05475172	2	-0.024982701	-0.0049965402	4.93e-07	5.32e-05	2	0.11506524317912219	0.05053191489361702	0.09516129032258064	0.034129692832764506	0.43043478260869567	0.015748031496062992	0.034482758620689655	0.0	0.15181518151815182	0.3569761363330135	0.20007846599762444	0.3143192567670888	0.1488165579488874	0.683437071955042	0.08099408233333509	0.14999492361041503	1.4815510057992861e-05	0.42584482512465016	20.0	22.0	36.0	16.0	32.0	11.0	5.0	5.0	25.0	843.0	376.0	620.0	586.0	460.0	254.0	232.0	38.0	606.0	0.683422256444984	0.3143044412570308	0.01707373388951036	0.007852173878896463	0.007852173878896463	WNT7B	0	intron	CpG_shore	41.0	27.0
cluster_6655	chr6	168963358	168963731	;cg03101413;cg05621218;cg09565319	3	0.116026458	0.0232052916	3.66e-06	0.000229078	3	0.4110429447852761	0.3531468531468531	0.6204379562043796	0.33242506811989103	0.793233082706767	0.3184931506849315	0.3172043010752688	0.7142857142857143	0.8712871287128713	0.677235894793836	0.649372930258813	0.6638493187630802	0.6358827498504411	0.5096414540778046	0.625728415338738	0.6247441512901983	0.5982695885852573	0.383932582969159	18.0	17.0	18.0	15.0	13.0	9.0	5.0	2.0	12.0	326.0	286.0	274.0	367.0	266.0	292.0	186.0	7.0	101.0	-0.08862813450745266	0.06557973017782293	-0.010283208526047307	0.007608983809128504	0.007608983809128504	SMOC2	0	intron	non_CpG_island	42.0	111.0
cluster_4532	chr2	159651559	159651918	;cg02251393;cg21992932;cg09357934	3	0.015502877	0.0031005754	5.33e-07	5.68e-05	3	0.14285714285714285	0.21935483870967742	0.18811881188118812	0.0	0.008130081300813009	0.1388888888888889	0.3076923076923077	1.0	0.2736842105263158	0.41011631828840894	0.526090188827923	0.483483696248872	1.4815510057992861e-05	0.047220392303659	0.40294135786694235	0.6172417697303416	1.4815510058361381e-05	0.586888904171389	16.0	12.0	19.0	13.0	19.0	8.0	5.0	1.0	13.0	147.0	155.0	101.0	109.0	123.0	36.0	26.0	4.0	95.0	0.04720557679360064	0.4834688807388136	0.0007318222507452451	0.007495158591421497	0.007495158591421497	DAPL1	90	promoter	non_CpG_island	43.0	87.0
cluster_1387	chr11	59824038	59824089	;cg13321166;cg03348161	2	0.027980847	0.0055961694	4.09e-10	2.44e-07	2	0.03571428571428571	0.0	0.4	0.03571428571428571	0.35714285714285715	0.0	0.0	0.14285714285714285	0.07692307692307693	0.15407610367102942	1.4815510057992861e-05	0.6730116670092565	0.15407610367102942	0.6517565611726532	1.4815510057992861e-05	1.4815510057992861e-05	0.41011631828840894	0.2711893730418441	9.0	7.0	12.0	9.0	8.0	6.0	1.0	1.0	5.0	28.0	20.0	30.0	28.0	14.0	13.0	3.0	7.0	13.0	0.2416402428842443	0.2628953487208476	0.0067612986651868785	0.0073560345295696815	0.0073560345295696815	MS4A3	37	promoter	non_CpG_island	44.0	59.0
cluster_4420	chr2	88366775	88367503	;cg18148488;cg00578637;cg19074493;cg16090764;cg14559139;cg03704645	6	0.037238383	0.0074476766	2.03e-07	2.71e-05	6	0.0797872340425532	0.03763440860215054	0.04918032786885246	0.036885245901639344	0.13333333333333333	0.05263157894736842	0.024390243902439025	0.0	0.10714285714285714	0.2782494156775614	0.1603518872138338	0.1960946596209072	0.15791569652310625	0.39267446722755217	0.20619205063323176	0.11466528220290656	1.4815510057992861e-05	0.3404997784712986	17.0	22.0	28.0	15.0	22.0	10.0	5.0	2.0	20.0	188.0	186.0	305.0	244.0	165.0	133.0	82.0	5.0	84.0	0.3926596517174942	0.1960798441108492	0.014622010499302656	0.007301696333580097	0.007301696333580097	SMYD1	204	promoter	non_CpG_island	45.0	31.0
cluster_7612	chr8	143202730	143203654	;cg25938735;cg00332850;cg13436164;cg23171972;cg23914969	5	0.043674447	0.0087348894	5.15e-06	0.000283148	5	0.2023529411764706	0.09241877256317689	0.11769172361427487	0.13140794223826716	0.12180349932705249	0.09414758269720101	0.15336134453781514	0.05128205128205128	0.15127175368139223	0.5036470421484773	0.3080985471559861	0.36230054274930945	0.3890544096932689	0.3705030032442385	0.31203021504697337	0.42849564064245826	0.20227300179743635	0.4249087452028364	19.0	24.0	33.0	17.0	31.0	11.0	5.0	5.0	25.0	1275.0	1385.0	1317.0	1385.0	1486.0	786.0	476.0	78.0	747.0	0.16823000144680217	0.1600275409518731	0.007347352281998285	0.006989114355842911	0.006989114355842911	MIR4472-1	54507	intergenic	CpG_island	46.0	55.0
cluster_293	chr1	47901555	47902085	;cg26518431;cg23659056;cg24114899;cg16342298	4	-0.033578283	-0.0067156566	5.89e-09	1.58e-06	4	0.0	0.02857142857142857	0.04918032786885246	0.0945945945945946	0.10843373493975904	0.15625	0.047619047619047616	0.0	0.13793103448275862	1.4815510057992861e-05	0.12974069471942834	0.1960946596209072	0.31304108587198165	0.3432281006503987	0.4333988732907457	0.19144408195771734	1.4815510057992861e-05	0.40118986218700575	14.0	15.0	19.0	15.0	20.0	9.0	5.0	3.0	11.0	52.0	35.0	61.0	74.0	83.0	32.0	21.0	9.0	29.0	0.3432132851403407	0.1960798441108492	0.011524512817802056	0.006584024496149978	0.006584024496149978	LINC01389	0	promoter	CpG_shore	47.0	38.0
cluster_4551	chr2	176983285	176983519	;cg06479254;cg23105697	2	-0.053087412	-0.0106174824	1.43e-06	0.000110106	2	0.07407407407407407	0.02	0.02631578947368421	0.23333333333333334	0.19047619047619047	0.0	0.14285714285714285	0.0	0.16666666666666666	0.2640520518256287	0.098039113279732	0.12169240267806193	0.5432727813369009	0.48691270946460224	1.4815510057992861e-05	0.41011631828840894	1.4815510057992861e-05	0.45056120886630463	9.0	11.0	13.0	7.0	9.0	6.0	2.0	1.0	4.0	27.0	50.0	38.0	30.0	21.0	15.0	7.0	2.0	6.0	0.48689789395454425	0.12167758716800393	0.0258481490982972	0.0064595482011537385	0.0064595482011537385	HOXD10	0	promoter	CpG_shore	48.0	11.0
cluster_1257	chr11	2909690	2909715	;cg23335134;cg26874323;cg08222610	3	-0.042734524	-0.0085469048	2.14e-07	2.82e-05	3	0.03125	0.006024096385542169	0.03296703296703297	0.04678362573099415	0.02112676056338028	0.09259259259259259	0.02857142857142857	0.0	0.022727272727272728	0.13906079845474112	0.03680102213006247	0.14490921486754785	0.18893364384218647	0.10239245498738406	0.30849545083110386	0.12974069471942834	1.4815510057992861e-05	0.10847133903591605	16.0	17.0	19.0	14.0	19.0	9.0	5.0	3.0	15.0	224.0	166.0	182.0	171.0	142.0	108.0	70.0	21.0	264.0	0.10237763947732606	0.14489439935748985	0.004375059691307138	0.006191993186808235	0.006191993186808235	SLC22A18AS	0	exon	CpG_shelf	49.0	70.0
cluster_6020	chr5	172662724	172663219	;cg24767237;cg03625415;cg07383092;cg01040654	4	-0.038638364	-0.0077276728	2.36e-06	0.000167041	4	0.027548209366391185	0.046703296703296704	0.033185840707964605	0.06	0.07216494845360824	0.030927835051546393	0.03007518796992481	0.0	0.08677685950413223	0.12611337137946732	0.1886914349704885	0.1456477566612001	0.22696752250060448	0.2592033354816194	0.13795276820044783	0.13500343192750364	1.4815510057992861e-05	0.2950165351334829	19.0	22.0	26.0	16.0	23.0	12.0	5.0	2.0	19.0	363.0	364.0	452.0	300.0	291.0	194.0	133.0	17.0	242.0	0.2591885199715614	0.14563294115114211	0.01001462037928246	0.005627018590588408	0.005627018590588408	NKX2-5	762	promoter	CpG_shore	50.0	45.0
